VS_NAZOV,FAKULTA_NAZOV,pocty_zamestnancov,publikacna_excelentnost,sum_granty
Univerzita Komenského v Bratislave,Jesseniova lekárska fakulta UK,224,1333.0,248278.0
Univerzita Komenského v Bratislave,Lekárska fakulta UK,452,1932.0,0.0
Univerzita Komenského v Bratislave,Farmaceutická fakulta UK,97,309.0,866540.0
Univerzita veterinárskeho lekárstva a farmácie v Košiciach,Predklinické pracoviská,10,0.0,0.0
Univerzita veterinárskeho lekárstva a farmácie v Košiciach,Pracoviská chémie a farmácie,25,0.0,0.0
Univerzita Pavla Jozefa Šafárika v Košiciach,"Lekárska fakulta, Košice",315,0.0,439240.0
Trnavská univerzita v Trnave,Fakulta zdravotníctva a sociálnej práce,46,128.0,1711292.0
Univerzita Konštantína Filozofa v Nitre,Fakulta sociálnych vied a zdravotníctva,17,49.0,21908.0
Prešovská univerzita v Prešove,Fakulta zdravotníckych odborov,74,154.0,0.0
Trenčianska univerzita Alexandra Dubčeka v Trenčíne,Fakulta zdravotníctva,28,95.0,0.0
Univerzita sv. Cyrila a Metoda v Trnave,Fakulta zdravotníckych vied,27,66.0,0.0
Katolícka univerzita v Ružomberku,Fakulta zdravotníctva,41,78.0,0.0
