"VS_NAZOV","FAKULTA_NAZOV","pocty_zamestnancov","publikacna_excelentnost","sum_granty","rezidua_granty","rezidua_publ"
"Univerzita Komenského v Bratislave","Právnická fakulta UK",137,145.75,205530,-287599.270624169,-45.1550833496463
"Univerzita Komenského v Bratislave","Pedagogická fakulta UK",131,60.25,0,-471532.368261067,-122.294276779589
"Univerzita Komenského v Bratislave","Filozofická fakulta UK",71,72.5,415638,160074.655369956,-26.4362110790142
"Univerzita Komenského v Bratislave","Fakulta managementu UK",74,202.5,316548,50186.204188405,99.3833856359571
"Univerzita Komenského v Bratislave","Prírodovedecká fakulta UK",24,20.75,0,-86387.6094524092,-12.6932262802301
"Univerzita Komenského v Bratislave","Fakulta matematiky, fyziky a informatiky UK",8,6.25,0,-28795.8698174697,-4.89774209341004
"Univerzita Komenského v Bratislave","Lekárska fakulta UK",6,0,0,-21596.9023631023,-8.36080657005753
"Univerzita Komenského v Bratislave","Fakulta telesnej výchovy a športu UK",59,140.5,51884,-160485.539903839,58.2854020611009
"Univerzita Komenského v Bratislave","Fakulta sociálnych a ekonomických vied UK",48,155,192448,19672.7810951816,88.1135474395397
"Univerzita Komenského v Bratislave","Farmaceutická fakulta UK",6,0,0,-21596.9023631023,-8.36080657005753
"Slovenská technická univerzita v Bratislave","Ústav manažmentu STU",19,0,544559,476168.809183509,-26.4758874718488
"Slovenská technická univerzita v Bratislave","Stavebná fakulta STU v Bratislave",6,8.5,0,-21596.9023631023,0.139193429942466
"Slovenská technická univerzita v Bratislave","Fakulta elektrotechniky a informatiky",7,0,0,-25196.386090286,-9.75427433173379
"Slovenská technická univerzita v Bratislave","Fakulta chemickej a potravinárskej technológie",5,0,0,-17997.4186359186,-6.96733880838128
"Ekonomická univerzita v Bratislave","Podnikovohospodárska fakulta v Košiciach",35,49.5,34617,-91364.93045143,0.72862834133106
"Ekonomická univerzita v Bratislave","Fakulta podnikového manažmentu",75,100.75,758006,488044.720461221,-3.76008212571918
"Ekonomická univerzita v Bratislave","Obchodná fakulta",65,88.25,126351,-107615.442266941,-2.32540450895655
"Ekonomická univerzita v Bratislave","Národohospodárska fakulta",92,120.75,115360,-215792.502900902,-7.4490340742156
"Ekonomická univerzita v Bratislave","Fakulta hospodárskej informatiky",59,48.5,0,-212369.539903839,-33.7145979388991
"Ekonomická univerzita v Bratislave","Fakulta medzinárodných vzťahov",26,48.75,0,-93586.5769067766,12.5198381964174
"Slovenská poľnohospodárska univerzita v Nitre","Fakulta ekonomiky a manažmentu",90,124.25,522588,198634.464553465,-1.16209855086305
