VS_NAZOV,FAKULTA_NAZOV,pocty_zamestnancov,publikacna_excelentnost,sum_granty
Univerzita Komenského v Bratislave,Prírodovedecká fakulta UK,296,942.5956349206349,1331560.16
Univerzita Komenského v Bratislave,"Fakulta matematiky, fyziky a informatiky UK",174,589.4222222222222,1431890.55
Univerzita Komenského v Bratislave,Lekárska fakulta UK,33,38.91984126984127,0.0
Univerzita Komenského v Bratislave,Vedecký park UK,13,13.7,0.0
Slovenská technická univerzita v Bratislave,Materiálovotechnologická fakulta so sídlom v Trnave,9,15.366666666666667,15000.0
Slovenská technická univerzita v Bratislave,Stavebná fakulta STU v Bratislave,46,97.91666666666667,20320.0
Slovenská technická univerzita v Bratislave,Strojnícka fakulta Slovenskej technickej univerzity v Bratislave,9,7.366666666666666,0.0
Slovenská technická univerzita v Bratislave,Fakulta elektrotechniky a informatiky,22,14.426190476190476,271309.02
Slovenská technická univerzita v Bratislave,Fakulta chemickej a potravinárskej technológie,100,365.71666666666664,92845.70999999999
Slovenská poľnohospodárska univerzita v Nitre,Fakulta biotechnológie a potravinárstva,32,66.45,33400.0
Slovenská poľnohospodárska univerzita v Nitre,Výskumné centrum AgroBioTech,7,7.816666666666666,0.0
Univerzita veterinárskeho lekárstva a farmácie v Košiciach,Predklinické pracoviská,14,0.0,0.0
Univerzita veterinárskeho lekárstva a farmácie v Košiciach,Pracoviská chémie a farmácie,5,0.0,0.0
Univerzita veterinárskeho lekárstva a farmácie v Košiciach,Výskumné centrá a laboratóriá,5,0.0,0.0
Žilinská univerzita v Žiline,Fakulta riadenia a informatiky,7,3.8333333333333335,0.0
Žilinská univerzita v Žiline,Stavebná fakulta,9,2.5,0.0
Žilinská univerzita v Žiline,Fakulta elektrotechniky a informačných technológií,19,14.5,30404.0
Univerzita Pavla Jozefa Šafárika v Košiciach,Prírodovedecká fakulta,158,497.56666666666666,275499.31
Univerzita Pavla Jozefa Šafárika v Košiciach,Celouniverzitné pracovisko UPJŠ,13,46.28333333333333,0.0
Univerzita Mateja Bela v Banskej Bystrici,Fakulta prírodných vied,33,70.5,24831.0
Univerzita Konštantína Filozofa v Nitre,Fakulta prírodných vied,49,8.5,245204.0
Prešovská univerzita v Prešove,Fakulta humanitných a prírodných vied,36,82.71666666666667,20000.0
Trenčianska univerzita Alexandra Dubčeka v Trenčíne,FunGlass - Centrum pre funkčné a povrchovo funkcionalizované sklá,41,103.35,1928697.0
Univerzita sv. Cyrila a Metoda v Trnave,Fakulta prírodných vied,35,87.31666666666666,9629.0
Katolícka univerzita v Ružomberku,Pedagogická fakulta,19,13.666666666666666,0.0
Univerzita J. Selyeho,Fakulta ekonómie a informatiky,10,18.0,0.0
